bilstm=100-False|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
277,0.000,0.000,0.000,1
278,0.000,0.000,0.000,2
279,0.000,0.000,0.000,2
280,0.000,0.000,0.000,1
281,0.727,0.755,0.741,53
282,0.000,0.000,0.000,4
283,0.395,0.586,0.472,29
284,0.600,0.375,0.462,8
285,0.000,0.000,0.000,1
286,0.000,0.000,0.000,1
287,0.000,0.000,0.000,2
288,1.000,0.750,0.857,8
mac avg,0.314,0.282,0.289,8361
macro avg weighted,0.7449370935070254,0.7616313838057649,0.7493564859397083,None
micro avg,0.7616313838057649,0.7616313838057649,0.7616313838057649,None
accuracy on this run=0.7616313838057649

han_2dinputN-fold results:
,precision, recall, f1, support
0,0.519,0.452,0.483,31
1,0.000,0.000,0.000,5
2,0.774,0.736,0.755,163
3,0.000,0.000,0.000,1
4,0.400,0.526,0.455,19
5,0.000,0.000,0.000,1
6,0.333,0.361,0.347,36
7,0.667,0.500,0.571,4
8,0.000,0.000,0.000,3
9,0.000,0.000,0.000,1
10,0.917,0.880,0.898,25
11,0.000,0.000,0.000,3
12,0.000,0.000,0.000,2
13,0.571,0.667,0.615,6
14,0.000,0.000,0.000,1
15,0.000,0.000,0.000,2
16,0.000,0.000,0.000,1
17,0.333,0.400,0.364,5
18,1.000,1.000,1.000,2
19,0.692,0.600,0.643,15
20,0.000,0.000,0.000,1
21,0.200,0.250,0.222,4
22,0.500,0.333,0.400,3
23,1.000,0.667,0.800,3
24,0.000,0.000,0.000,2
25,0.000,0.000,0.000,1
26,0.000,0.000,0.000,1
27,0.143,0.167,0.154,6
28,0.000,0.000,0.000,7
29,0.633,0.679,0.655,28
30,0.000,0.000,0.000,3
31,0.000,0.000,0.000,1
32,0.800,0.853,0.826,75
33,0.000,0.000,0.000,1
34,0.000,0.000,0.000,3
35,0.370,0.345,0.357,29
36,0.000,0.000,0.000,2
37,0.000,0.000,0.000,2
38,0.000,0.000,0.000,1
39,0.909,0.769,0.833,13
40,0.000,0.000,0.000,1
41,0.000,0.000,0.000,3
42,0.000,0.000,0.000,2
43,0.000,0.000,0.000,1
44,0.500,0.500,0.500,4
45,0.000,0.000,0.000,3
46,0.500,0.200,0.286,5
47,0.730,0.720,0.725,75
48,0.000,0.000,0.000,1
49,0.417,0.500,0.455,10
50,0.000,0.000,0.000,1
51,0.000,0.000,0.000,4
52,0.429,0.474,0.450,19
53,0.000,0.000,0.000,2
54,0.615,0.696,0.653,46
55,0.000,0.000,0.000,1
56,0.688,0.917,0.786,12
57,0.000,0.000,0.000,3
58,0.571,0.500,0.533,16
59,0.000,0.000,0.000,1
60,0.143,0.125,0.133,8
61,0.833,0.455,0.588,11
62,0.000,0.000,0.000,1
63,1.000,0.833,0.909,6
64,0.000,0.000,0.000,1
65,0.667,0.500,0.571,4
66,0.000,0.000,0.000,3
67,0.000,0.000,0.000,3
68,0.250,0.200,0.222,5
69,0.778,0.636,0.700,11
70,0.125,0.125,0.125,8
71,0.000,0.000,0.000,1
72,0.429,0.429,0.429,7
73,0.661,0.734,0.696,109
74,0.000,0.000,0.000,1
75,0.857,0.857,0.857,7
76,0.154,0.200,0.174,10
77,0.364,0.400,0.381,10
78,0.200,0.154,0.174,13
79,0.375,0.300,0.333,10
80,0.000,0.000,0.000,4
81,0.000,0.000,0.000,1
82,0.500,0.381,0.432,21
83,0.400,0.200,0.267,10
84,1.000,0.333,0.500,3
85,0.250,0.111,0.154,9
86,0.167,0.200,0.182,5
87,1.000,0.200,0.333,5
88,0.500,0.621,0.554,29
89,0.000,0.000,0.000,1
90,0.500,0.286,0.364,7
91,0.000,0.000,0.000,2
92,0.731,0.680,0.705,100
93,0.659,0.763,0.707,38
94,0.500,0.500,0.500,6
95,0.860,0.851,0.855,174
96,0.800,0.838,0.819,210
97,0.806,0.847,0.826,59
98,0.000,0.000,0.000,1
99,0.609,0.400,0.483,35
100,0.695,0.784,0.737,125
101,0.333,0.233,0.274,43
102,0.658,0.581,0.617,43
103,0.657,0.697,0.676,33
104,0.000,0.000,0.000,2
105,0.514,0.529,0.522,34
106,0.259,0.438,0.326,16
107,0.000,0.000,0.000,1
108,0.000,0.000,0.000,1
109,0.727,0.686,0.706,35
110,0.000,0.000,0.000,1
111,0.811,0.769,0.789,39
112,0.000,0.000,0.000,1
113,0.925,0.940,0.932,601
114,0.608,0.672,0.638,67
115,0.699,0.730,0.714,137
116,0.833,0.500,0.625,10
117,0.172,0.312,0.222,16
118,0.635,0.550,0.589,60
119,0.969,0.973,0.971,3007
120,0.733,0.355,0.478,31
121,0.467,0.350,0.400,20
122,0.000,0.000,0.000,5
123,0.000,0.000,0.000,5
124,0.000,0.000,0.000,3
125,0.654,0.515,0.576,33
126,0.375,0.429,0.400,21
127,0.684,0.722,0.703,18
128,0.709,0.744,0.726,82
129,0.750,0.682,0.714,22
130,0.000,0.000,0.000,1
131,1.000,0.500,0.667,2
132,0.627,0.500,0.557,64
133,0.000,0.000,0.000,2
134,0.000,0.000,0.000,3
135,0.000,0.000,0.000,1
136,0.603,0.603,0.603,68
137,0.000,0.000,0.000,1
138,0.000,0.000,0.000,1
139,0.000,0.000,0.000,2
140,0.000,0.000,0.000,1
141,0.000,0.000,0.000,1
142,0.667,0.667,0.667,3
143,0.000,0.000,0.000,2
144,0.400,0.500,0.444,16
145,0.200,0.214,0.207,14
146,0.000,0.000,0.000,5
147,0.333,0.333,0.333,12
148,0.000,0.000,0.000,6
149,0.500,0.200,0.286,5
150,0.632,0.615,0.623,39
151,0.586,0.739,0.654,23
152,0.000,0.000,0.000,1
153,0.000,0.000,0.000,3
154,0.067,0.056,0.061,18
155,0.500,0.500,0.500,4
156,0.200,0.214,0.207,14
157,0.000,0.000,0.000,3
158,0.720,0.692,0.706,26
159,0.167,0.182,0.174,11
160,0.500,0.333,0.400,3
161,0.815,0.710,0.759,31
162,0.000,0.000,0.000,1
163,0.000,0.000,0.000,1
164,0.000,0.000,0.000,4
165,0.000,0.000,0.000,1
166,0.000,0.000,0.000,3
167,0.250,0.250,0.250,4
168,0.000,0.000,0.000,5
169,0.000,0.000,0.000,3
170,0.000,0.000,0.000,1
171,0.735,0.818,0.774,44
172,0.000,0.000,0.000,1
173,0.830,0.848,0.839,46
174,0.760,0.679,0.717,84
175,0.333,0.083,0.133,12
176,0.000,0.000,0.000,1
177,0.400,0.250,0.308,8
178,0.600,0.600,0.600,5
179,0.000,0.000,0.000,1
180,0.600,0.500,0.545,6
181,0.167,0.300,0.214,10
182,0.087,0.100,0.093,20
183,0.375,0.400,0.387,15
184,0.333,0.538,0.412,13
185,0.900,0.900,0.900,20
186,0.667,1.000,0.800,2
187,0.000,0.000,0.000,3
188,0.308,0.348,0.327,23
189,0.286,0.333,0.308,18
190,0.000,0.000,0.000,3
191,0.647,0.726,0.684,197
192,0.644,0.592,0.617,49
193,0.647,0.917,0.759,12
194,0.815,0.710,0.759,31
195,0.588,0.667,0.625,15
196,0.615,0.681,0.646,47
197,0.214,0.429,0.286,7
198,0.000,0.000,0.000,1
199,0.800,0.571,0.667,7
200,0.822,0.822,0.822,45
201,0.796,0.796,0.796,49
202,0.776,0.776,0.776,67
203,0.500,0.571,0.533,7
204,0.000,0.000,0.000,1
205,0.700,0.875,0.778,8
206,0.000,0.000,0.000,4
207,0.500,0.750,0.600,12
208,0.000,0.000,0.000,9
209,0.000,0.000,0.000,2
210,0.790,0.859,0.823,92
211,0.154,0.222,0.182,9
212,0.000,0.000,0.000,1
213,0.646,0.724,0.683,58
214,0.000,0.000,0.000,5
215,0.647,0.635,0.641,52
216,0.000,0.000,0.000,4
217,0.300,0.250,0.273,12
218,0.000,0.000,0.000,2
219,0.750,0.857,0.800,7
220,0.286,0.429,0.343,28
221,0.429,0.400,0.414,15
222,0.667,0.577,0.619,52
223,0.316,0.375,0.343,16
224,0.250,0.222,0.235,9
225,0.000,0.000,0.000,2
226,0.000,0.000,0.000,1
227,0.000,0.000,0.000,1
228,0.000,0.000,0.000,1
229,0.000,0.000,0.000,1
230,0.000,0.000,0.000,5
231,0.000,0.000,0.000,4
232,0.333,0.286,0.308,7
233,0.000,0.000,0.000,2
234,0.000,0.000,0.000,3
235,0.000,0.000,0.000,3
236,0.000,0.000,0.000,1
237,0.000,0.000,0.000,1
238,0.611,0.733,0.667,15
239,0.000,0.000,0.000,5
240,0.000,0.000,0.000,1
241,0.000,0.000,0.000,2
242,0.000,0.000,0.000,1
243,0.000,0.000,0.000,1
244,0.000,0.000,0.000,1
245,0.000,0.000,0.000,2
246,0.800,1.000,0.889,8
247,0.000,0.000,0.000,1
248,0.000,0.000,0.000,1
249,0.000,0.000,0.000,2
250,0.600,0.750,0.667,4
251,0.423,0.500,0.458,44
252,0.000,0.000,0.000,2
253,0.714,0.714,0.714,7
254,0.667,0.500,0.571,4
255,0.000,0.000,0.000,1
256,0.000,0.000,0.000,1
257,0.000,0.000,0.000,2
258,0.625,0.556,0.588,18
259,0.111,0.200,0.143,5
260,0.900,0.900,0.900,20
261,0.000,0.000,0.000,1
262,0.200,0.143,0.167,7
263,0.000,0.000,0.000,1
264,0.500,0.667,0.571,6
265,0.000,0.000,0.000,5
266,0.000,0.000,0.000,2
267,0.688,0.635,0.660,52
268,0.091,0.091,0.091,11
269,0.333,0.412,0.368,17
270,0.000,0.000,0.000,1
271,0.417,0.476,0.444,21
272,0.000,0.000,0.000,1
